sample	species	population	latitude	longitude	sex
ABLG11470	Copper	Hecate	53.33	-131.27	NA
ABLG11478	Copper	California	36.58	-122.08	NA
ABLG11479	Copper	Oregon	42.46	-124.48	NA
ABLG11481	Copper	California	32.48	-117.33	NA
ABLG11484	Copper	California	35.92	-121.47	NA
ABLG11485	Copper	California	32.39	-117.25	NA
ABLG11490	Copper	Outside	48.38	-124.61	NA
ABLG11491	Copper	Outside	48.38	-124.61	NA
ABLG11492	Copper	Outside	48.38	-124.61	NA
ABLG12095	Copper	California	35.236	-120.9	NA
ABLG12096	Copper	Oregon	42.667	-124.475	NA
ABLG12098	Copper	California	34.018	-119.348	NA
ABLG12099	Copper	California	33.283	-118.28	NA
ABLG12100	Copper	California	33.463	-118.511	NA
ABLG12102	Copper	California	33.946	-118.536	NA
ABLG12103	Copper	Oregon	45.475	-124	NA
ABLG12108	Copper	Puget	47.95	-122.631	NA
ABLG12110	Copper	Puget	47.95	-122.631	NA
ABLG12111	Copper	Inside	48.95	-123.494	NA
ABLG12117	Copper	Oregon	44.653	-124.07	NA
ABLG12119	Copper	Oregon	43.717	-124.5	NA
ABLG12121	Copper	California	32.78	-118.36	NA
ABLG12132	Copper	California	33.283	-118.28	NA
ABLG12385	Copper	California	35.98	-121.5	NA
ABLG12386	Copper	California	32.48	-117.33	NA
ABLG12387	Copper	California	34.02	-120.39	NA
ABLG12388	Copper	California	34.02	-120.39	NA
ABLG12389	Copper	California	34.02	-120.39	NA
ABLG12390	Copper	California	34.02	-120.39	NA
ABLG12391	Copper	California	33.26	-119.63	NA
ABLG12392	Copper	Oregon	45.48	-124	NA
ABLG12393	Copper	Oregon	45.48	-124	NA
ABLG12395	Copper	Oregon	45.48	-124	NA
ABLG12400	Copper	Oregon	45.48	-124	NA
ABLG12401	Copper	Oregon	45.48	-124	NA
ABLG12403	Copper	Oregon	45.48	-124	NA
ABLG12405	Copper	Oregon	45.48	-124	NA
ABLG12407	Copper	Oregon	45.48	-124	NA
ABLG12412	Copper	California	32.78	-118.36	NA
ABLG14835	Copper	Hecate	53.8645	-131.34	NA
ABLG14838	Copper	Hecate	53.8645	-131.34	NA
ABLG14842	Copper	Hecate	53.325	-131.27	NA
ABLG14843	Copper	Hecate	53.325	-131.27	NA
ABLG14844	Copper	Hecate	53.325	-131.27	NA
ABLG14846	Copper	Hecate	53.325	-131.27	NA
ABLG14847	Copper	Hecate	53.325	-131.27	NA
ABLG14848	Copper	Hecate	53.325	-131.27	NA
ABLG14850	Copper	Hecate	53.325	-131.27	NA
ABLG14851	Copper	Hecate	53.325	-131.27	NA
ABLG14865	Copper	Puget	47.95	-122.63111666666668	NA
ABLG14870	Copper	Puget	47.95	-122.63111666666668	NA
ABLG14872	Copper	Puget	47.95	-122.63111666666668	NA
ABLG14873	Copper	Puget	47.95	-122.63111666666668	NA
ABLG14877	Copper	Puget	47.95	-122.63111666666668	NA
ABLG14878	Copper	Puget	47.95	-122.63111666666668	NA
ABLG14894	Copper	Inside	48.95	-123.49445	NA
ABLG14895	Copper	Inside	48.95	-123.49445	NA
ABLG14896	Copper	Inside	48.95	-123.49445	NA
ABLG14901	Copper	Inside	48.95	-123.61471666666668	NA
ABLG14902	Copper	Inside	48.95	-123.61471666666668	NA
ABLG14904	Copper	Inside	48.96666666666667	-123.77861166666666	NA
ABLG14933	Copper	Hecate	53.325	-131.27	NA
ABLG15024	Copper	Oregon	44.43277778	-124.44388889	M
ABLG15025	Copper	Outside	47.82861111	-124.89972222	M
ABLG15086	Copper	California	32.81326667	-117.3369167	F
ABLG15090	Copper	California	33.30081667	-118.3013333	M
ABLG15091	Copper	California	32.69253333	-119.0993	F
ABLG15095	Copper	California	33.23205	-119.3121667	M
ABLG15098	Copper	California	33.59573333	-118.2582667	F
ABLG15099	Copper	California	32.46651667	-119.1609333	M
ABLG15103	Copper	California	33.2974	-118.3768833	F
ABLG15105	Copper	California	34.05828333	-119.7100167	F
ABLG15106	Copper	California	34.5011	-120.6704833	F
ABLG15107	Copper	California	32.46638333	-119.1604167	M
ABLG15109	Copper	California	33.5999	-118.2653167	F
